463105;46.74918;31.97641;2022/04/27;2;y
483208;48.77034;30.22166;2022/04/29;1;n
493811;49.41677;38.14978;2022/05/01;1;Y
483513;48.36788;35.09337;2022/05/02;1;y
483215;48.53596;32.27599;2022/05/02;1;y
463116;46.99176;31.99634;2022/05/03;1;y
463217;46.90627;32.54975;2022/05/04;4;n
493918;49.35178;39.30147;2022/05/04;4;n
463119;46.72734;31.96833;2022/05/04;3;n
473321;47.60399;33.42734;2022/05/05;3;n
463123;46.98239;31.97896;2022/05/06;2;n
473325;47.43225;33.86572;2022/05/06;4;x
503099;50.45220;30.52500;2022/12/31;0;n
